"","date","gen_id","gen_name","v_total","v_green","v_green_pct","flooded","severe","satellite","flooded2","severe2","pop_per_sqkm","net_out_per_thousand","old_share","income_mean","unemployed_rate","land_set_pct","land_agri_pct","incumbent","distance","land_name"
"1",2021-09-26,7235001,"Aach",293,27,0.0921501706484642,1,0,0,0,0,1.60344827586207,-27.7777777777778,0.267025089605735,43219.8275862069,0.0156537753222836,0.0718390804597701,0.385057471264368,1,0,"Rheinland-Pfalz"
"2",2021-09-26,8335001,"Aach",1317,147,0.111617312072893,0,0,0,0,0,2.16666666666667,-9.93949870354365,0.251944684528954,43355.078447564,0.020479302832244,0.0936329588014981,0.412921348314607,1,85.5456248628988,"Baden-W<fc>rttemberg, Land"
"3",2017-09-24,7235001,"Aach b Trier",471,26,0.0552016985138004,1,0,0,0,0,1.60775862068966,7.14924039320822,0.259159964253798,39971.8004338395,0.0142984807864164,0.0790229885057471,0.389367816091954,1,0,"Rheinland-Pfalz"
"4",2017-09-24,8335001,"Aach, Stadt",927,94,0.101402373247033,0,0,0,0,0,2.12546816479401,-11.0132158590308,0.218061674008811,43021.0437710438,0.020704845814978,0.0908239700374532,0.417602996254682,1,85.5456248628988,"Baden-W<fc>rttemberg, Land"
"5",2021-09-26,5334002,"Aachen",139293,40421,0.290186872276425,1,1,0,0,0,15.47267640659,-0.871913146200146,0.240463198836378,39757.1306939123,0.0468428663239075,0.300279763755051,0.387193036990985,0,0,"Nordrhein-Westfalen"
"6",2017-09-24,5334002,"Aachen, krfr. Stadt",139801,17918,0.128167895794737,1,1,0,0,0,15.2285359030152,2.35557315544742,0.234753073063592,38096.506670449,0.046862433711232,0.294497979483991,0.397140192726142,0,0,"Nordrhein-Westfalen"
"7",2021-09-26,8136088,"Aalen",36368,5685,0.15631874175099,0,0,0,0,0,4.66373311502251,-1.97481019879756,0.27992568862363,45685.8688912688,0.0224584387291097,0.136376040387502,0.412675671987993,1,18.1826046555117,"Baden-W<fc>rttemberg, Land"
"8",2017-09-24,8136088,"Aalen, Stadt",26658,3206,0.120264085827894,0,0,0,0,0,4.61754673215991,-6.04278706932214,0.270241120501152,44460.3804844607,0.0207139057975297,0.134056487924683,0.415336335107109,1,18.1826046555117,"Baden-W<fc>rttemberg, Land"
"9",2017-09-24,6439001,"Aarbergen",3446,286,0.0829947765525247,0,0,0,0,0,1.77009125699146,-5.65441543322801,0.302843838350241,37039.283252929,0.0266090138034259,0.075360612304975,0.407418310273771,1,26.243575962098,"Hessen"
"10",2021-09-26,6439001,"Aarbergen",3438,404,0.117510180337405,0,0,0,0,0,1.86546953193995,-16.2537478302036,0.304402714218084,38261.7014007516,0.0324281150159744,0.0762437444804239,0.406535178098322,1,26.243575962098,"Hessen"
"11",2017-09-24,1061001,"Aasbüttel",87,17,0.195402298850575,0,0,0,0,0,0.30820399113082,-71.9424460431655,0.23021582733813,32820.8955223881,0.0143884892086331,0.0332594235033259,0.855875831485588,1,267.239164880788,"Schleswig-Holstein"
"12",2021-09-26,1061001,"Aasbüttel",72,11,0.152777777777778,0,0,0,0,0,0.310421286031042,-14.2857142857143,0.235714285714286,31803.0303030303,0.00719424460431655,0.0354767184035477,0.855875831485588,1,267.239164880788,"Schleswig-Holstein"
"13",2021-09-26,9576111,"Abenberg",3644,328,0.0900109769484083,1,0,0,0,0,1.13447634786201,-2.54916241806264,0.28823743627094,47059.9494402311,0.0159912774850082,0.0834538318529229,0.435653790539145,0,0,"Bayern"
"14",2017-09-24,9576111,"Abenberg, St",3435,252,0.0733624454148472,1,0,0,0,0,1.14728361908697,-10.8030248469571,0.25891249549874,43391.5248098515,0.0154843356139719,0.0770501962404462,0.450733319562074,0,0,"Bayern"
"15",2021-09-26,9273111,"Abensberg",7882,847,0.107460035523979,0,0,0,0,0,2.35512777962164,-13.3173618940248,0.239430665163472,42381.1184122301,0.0182909402686482,0.0967474278128111,0.532691669432459,0,34.3378037121012,"Bayern"
"16",2017-09-24,9273111,"Abensberg, St",7513,627,0.0834553440702782,0,0,0,0,0,2.26414468226315,-7.84112560457277,0.225120914553715,41095.1256769893,0.0171478821632713,0.0949062551850008,0.5370831259333,0,34.3378037121012,"Bayern"
"17",2017-09-24,7134001,"Abentheuer",195,17,0.0871794871794872,0,0,0,0,0,0.715686274509804,20.5479452054795,0.285388127853881,33107.1428571429,0.0296803652968037,0.0457516339869281,0.168300653594771,1,0,"Rheinland-Pfalz"
"18",2021-09-26,7134001,"Abentheuer",131,13,0.099236641221374,0,0,0,0,0,0.720588235294118,-34.0136054421769,0.310657596371882,33252.4752475248,0.0300925925925926,0.0555555555555556,0.155228758169935,1,0,"Rheinland-Pfalz"
"19",2021-09-26,9577111,"Absberg",903,98,0.108527131782946,0,0,0,0,0,0.733403582718651,-13.6494252873563,0.290229885057471,34792.5257731959,0.0188133140376266,0.0674394099051633,0.38145416227608,0,0,"Bayern"
"20",2017-09-24,9577111,"Absberg, M",812,73,0.0899014778325123,0,0,0,0,0,0.712855637513172,-11.8255728011826,0.271988174427199,32889.3442622951,0.0169992609016999,0.0669125395152792,0.388303477344573,0,0,"Bayern"
"21",2017-09-24,8125001,"Abstatt",2115,225,0.106382978723404,0,0,0,0,0,4.89648033126294,10.3594080338266,0.243974630021142,48657.6503835285,0.0169133192389006,0.177018633540373,0.447204968944099,1,57.1532113941844,"Baden-W<fc>rttemberg, Land"
"22",2021-09-26,8125001,"Abstatt",2910,396,0.136082474226804,0,0,0,0,0,5.08385093167702,-15.271838729383,0.258603135817552,49809.5794392523,0.0167217175887696,0.179089026915114,0.445134575569358,1,57.1532113941844,"Baden-W<fc>rttemberg, Land"
"23",2017-09-24,16065001,"Abtsbessingen",259,3,0.0115830115830116,0,0,0,0,0,0.327182398864443,-15.1843817787419,0.314533622559653,28070.351758794,0.0325379609544469,0.0290986515259049,0.926188786373314,1,108.471015346453,"Th<fc>ringen"
"24",2021-09-26,16065001,"Abtsbessingen",204,1,0.00490196078431373,0,0,0,0,0,0.337118523775727,-14.7368421052632,0.330526315789474,28427.2300469484,0.0321888412017167,0.0361958836053939,0.920511000709723,0,108.471015346453,"Th<fc>ringen"
"25",2017-09-24,8136002,"Abtsgmünd",3457,367,0.10616141162858,0,0,0,0,0,1.02403241581668,-5.86710328830673,0.249010779096739,43148.3116883117,0.0135079819893573,0.0585440827162219,0.369707978203158,1,20.2138325032443,"Baden-W<fc>rttemberg, Land"
"26",2021-09-26,8136002,"Abtsgmünd",4610,548,0.118872017353579,0,0,0,0,0,1.03982115411485,-5.24052674012362,0.276001074979844,45338.9175257732,0.015633423180593,0.0605002095850217,0.367332681291044,1,20.2138325032443,"Baden-W<fc>rttemberg, Land"
"27",2017-09-24,6431001,"Abtsteinach",1566,79,0.0504469987228608,0,0,0,0,0,2.13883847549909,-2.96987696224014,0.301230377598642,46171.588188348,0.0169707254985151,0.0907441016333938,0.411978221415608,1,61.7961791177797,"Hessen"
"28",2021-09-26,6431001,"Abtsteinach",1551,176,0.113475177304965,0,0,0,0,0,2.23411978221416,-10.1543460601137,0.337124289195776,48244.9959967974,0.0189222542163719,0.0925589836660617,0.41016333938294,1,61.7961791177797,"Hessen"
"29",2021-09-26,9675111,"Abtswind",551,49,0.088929219600726,1,0,0,0,0,0.662763466042155,-15.3121319199058,0.273262661955241,38673.8197424893,0.0130796670630202,0.0554254488680718,0.458235753317721,0,0,"Bayern"
